OPC UA服务器地址：opc.tcp://192.168.6.6:4840,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
设备模块,,,,,NodeId,点位名称,数据类型,读写,描述
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_SmallGripperCloseLidStart,小夹爪关盖初始位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_SmallGripperCloseLidEnd,小夹爪关盖初始位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_SmallGripperOpenLidSpeed,小夹爪开盖速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_SmallGripperCloseLidSpeed,小夹爪关盖速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_SmallGripperOpenLid_RotationSpeed,开盖旋转速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_SmallGripperCloseLid_RotationSpeed,关盖旋转速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_UltrasoundTime,超声波混匀时间,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_ThermostaticModule_Temperature,恒温模块温度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_ThermostaticModule_Time,恒温模块温控时间,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_ThermostaticModule4_Shaking_Speed,恒温模块4震荡转速,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_ThermostaticModule4_Shaking_Time,恒温模块4震荡时间,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_UltrasoundSTOP,超声波停止,Int16,W,1停止
,,,,,,,,,
"堆栈
1=堆栈左旋转
2=堆栈右旋转
3=相机Z向上
4=相机Z向下
5=堆栈旋转至目标位置
6=相机移动至目标位置并检测有无
7=复位",,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_RPosFB,R位置反馈,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_ZPosFB,Z位置反馈,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_CompleteFB,完成反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_RPosSet,R运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_ZPosSet,Z运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_RSpeed,R速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_ZSpeed,Z速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_CmdType,指令类型,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_CmdTrig,指令触发,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Stack_DetectResult,物料检测结果,Int16,W,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"机械手
1=X向左
2=X向右
3=机械手去目标位置目标板位夹料
4=机械手去目标位置目标板位放料
7=复位
8=失能
             9=使能               10给机器人发动作命令收到动作完成反馈要复位 动作命令",,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_XPosFB,X位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_FinishFB,完成反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_XPosSet,X运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_XSpeedSet,X速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_ModuleNoSet,机械手模块号(每个工站对应不同动作),Int16,W,设备从左到右依次排列（紧缩机构 1、快换机构 2、离心机 3、9320标机4、离心管液体处理工站5，堆栈6，固体加样7，烘箱8，真空烘箱9，）
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Oven,机械手在烘箱的运行动作,Int16,W,1指第一个动作，2指第二个动作，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Locking_mechanism,机械手在紧缩结构的运行动作,Int16,W,1指第一个动作，2指第二个动作，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Quick_change_mechanism ,机械手在快换结构的运行动作,Int16,W,1指第一个动作，2指第二个动作，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Centrifuge,机械手在离心机的运行动作,Int16,W,1指第一个动作，2指第二个动作，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Vacuum_oven,机械手在真空烘箱的运行动作,Int16,W,1指第一个动作，2指第二个动作，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_9320,机械手在9320的运行动作,Int16,W,1指第一个动作，2指第二个动作，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Centrifuge_tube_liquid_handling,机械手在离心管液体处理的运行动作,Int16,W,1指第一个动作，2指第二个动作，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Stack,机械手在堆栈的运行动作,Int16,W,1指第一个动作，2指第二个动作，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Add_solid_sample,机械手在固体加样的运行动作,Int16,W,1指第一个动作，2指第二个动作，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Oven_Done ,机械手在烘箱的运行动作完成反馈,Int16,W,1指第一个动作完成，2指第二个动作完成，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Locking_mechanism_Done,机械手在紧缩结构的运行动作完成反馈,Int16,W,1指第一个动作完成，2指第二个动作完成，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Quick_change_mechanism_Done,机械手在快换结构的运行动作完成反馈,Int16,W,1指第一个动作完成，2指第二个动作完成，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Centrifuge_Done,机械手在离心机的运行动作完成反馈,Int16,W,1指第一个动作完成，2指第二个动作完成，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Vacuum_oven_Done,机械手在真空烘箱的运行动作完成反馈,Int16,W,1指第一个动作完成，2指第二个动作完成，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Nine_9320_Done,机械手在9320的运行动作完成反馈,Int16,W,1指第一个动作完成，2指第二个动作完成，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Centrifuge_tube_liquid_handling_Done,机械手在离心管液体处理的运行动作完成反馈,Int16,W,1指第一个动作完成，2指第二个动作完成，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Stack_Done,机械手在堆栈的运行动作完成反馈,Int16,W,1指第一个动作完成，2指第二个动作完成，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Add_solid_sample_Done,机械手在固体加样的运行动作完成反馈,Int16,W,1指第一个动作完成，2指第二个动作完成，以此类推
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Error_code,机器人反馈错误代码,Int16,W,机器人反馈报错代码
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Running_Status,机器人运行状态,Int16,W,机器人是否运行动作
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_gohome,机器人回原点,Int16,W,控制机器人回原点，1回原点，
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_gohome_done,机器人回原点完成,Int16,W,机器人反馈是否回原点完成，1是回原点完成
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_STOP,机器人停止,Int16,W,机器人收1 停止
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_Pick up or place,机器人夹取还是放置,Int16,W,夹爪夹取还是放置，0放置，1夹取
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_CmdType,指令类型,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Robot_CmdTrig,指令触发,Int16,W,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"固体加样
1=X向左
2=X向右
3=Y向里
4=Y向外
5=夹爪Z向上
6=夹爪Z向下
7=D开门
8=D关门
9=取料筒时Y轴向里
10=取料筒时Y轴向外
11=加料
12=夹爪夹料
13=夹爪放料
14=天枰去皮
15=天枰称重
16=料筒Z向上
17=料筒Z向下
18=放料筒时Y轴向里
19=放料筒时Y轴向外
20=复位
21=夹爪夹紧
22=夹爪松开
23=xyz回原点",,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_XPosFB,X位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_YPosFB,Y位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_MaterialZPosFB,料筒Z位置反馈,Int32,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_GripperZPosFB,夹爪Z位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_DoorPosFB,开关门位置反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_WeightFB,天枰重量反馈,Int32,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_CompleteFB,完成反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_XPosSet,X运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_YPosSet,Y运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_MaterialZPosSet,料筒Z运行位置,Int32,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_VoluneWeightSet,加样量,Int32,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_GripperZPosSet,夹爪Z运行位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_DoorPosSet,门开关位置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_XSpeed,X速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_YSpeed,Y速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_MaterialZSpeed,料筒Z速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_GripperZSpeed,夹爪Z速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_DoorSpeed,D速度,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_CmdType,指令类型,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Solid_CmdTrig,指令触发,Int16,W,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
总复位,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.System_ResetCompleteFB,复位完成反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.System_ResetTrig,复位触发,Int16,W,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
停止,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.System_StopTrig,停止触发,Int16,W,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"常规烘箱
1=启动
2=复位/停止",,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_TempFB,温度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_CompleteFB,完成反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_TempSet,运行温度设置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_TimeHourSet,运行时间设置(小时),Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_TimeMinuteSet,运行时间设置(分钟),,,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_CmdType,指令类型,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_CmdTrig,指令触发,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_Running_Status,运行状态,Int16,w,读取烘箱状态1运行，0 停止
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
