309 =39,堆栈第五列第9层,,326=39,堆栈第五列第4层
309 =40,堆栈第五列第10层,,326=40,堆栈第五列第5层
309 =41,堆栈第六列第1层,,326=41,堆栈第五列第6层
309 =42,堆栈第六列第2层,,326=42,堆栈第五列第7层
309 =43,堆栈第六列第3层,,326=43,堆栈第五列第8层
309 =44,堆栈第六列第4层,,326=44,堆栈第五列第9层
309 =45,堆栈第六列第5层,,326=45,堆栈第五列第10层
309 =46,堆栈第六列第7层（小瓶子）X轴2473,,326=46,堆栈第六列第1层
309 =47,堆栈第六列第8层（小瓶子）,,326=47,堆栈第六列第2层
309 =48,堆栈第六列第9层（小瓶子）,,326=48,堆栈第六列第3层
309 =49,堆栈第六列第10层（小瓶子）,,326=49,堆栈第六列第4层
309 =50,,,326=50,堆栈第六列第5层
309 =51,,,326=51,堆栈第六列第6层
309 =52,,,326=52,堆栈第六列第7层
309 =53,,,326=53,堆栈第六列第8层
309 =54,,,326=54,堆栈第六列第9层
309 =55,,,326=55,堆栈第六列第10层
309 =56,堆栈第七列第1层,,326=56,堆栈第七列第1层
309 =57,堆栈第七列第2层,,326=57,堆栈第七列第2层
309 =58,堆栈第七列第3层,,326=58,堆栈第七列第3层
309 =59,堆栈第七列第4层,,326=59,堆栈第七列第4层
309 =60,堆栈第八列第1层,,326=60,堆栈第八列第1层
309 =61,堆栈第八列第2层,,326=61,堆栈第八列第2层
309 =62,堆栈第八列第3层,,326=62,堆栈第八列第3层
309 =63,堆栈第八列第4层,,326=63,堆栈第八列第4层
309 =64,堆栈第九列第1层,,326=64,堆栈第九列第1层
309 =65,堆栈第九列第2层,,326=65,堆栈第九列第2层
309 =66,堆栈第九列第3层,,326=66,堆栈第九列第3层
309 =67,堆栈第九列第4层,,326=67,堆栈第九列第4层
309 =68,堆栈第九列第5层,,326=68,堆栈第九列第5层
309 =69,堆栈第十列第1层,,326=69,堆栈第十列第1层
309 =70,堆栈第十列第2层,,326=70,堆栈第十列第2层
309 =71,堆栈第十列第3层,,326=71,堆栈第十列第3层
309 =72,堆栈第十列第4层,,326=72,堆栈第十列第4层
309 =73,堆栈第十列第5层,,326=73,堆栈第十列第5层
309 =74,堆栈第十一列第1层,,326=74,堆栈第十一列第1层
309 =75,堆栈第十一列第2层,,326=75,堆栈第十一列第2层
309 =76,堆栈第十一列第3层,,326=76,堆栈第十一列第3层
309 =77,堆栈第十一列第4层,,326=77,堆栈第十一列第4层
309 =78,堆栈第十一列第5层,,326=78,堆栈第十一列第5层
309 =79,堆栈第十二列第1层,,326=79,堆栈第十二列第1层
309 =80,堆栈第十二列第2层,,326=80,堆栈第十二列第2层
309 =81,堆栈第十二列第3层,,326=81,堆栈第十二列第3层
309 =82,堆栈第十二列第4层,,326=82,堆栈第十二列第4层
309 =83,堆栈第十二列第5层,,326=83,堆栈第十二列第5层
309 =84,,,326=84,堆栈第84个工位 完成
309 =85,,,326=85,堆栈第85个工位 完成
309 =86,,,326=86,堆栈第86个工位 完成
309 =87,,,326=87,堆栈第87个工位 完成
309 =88,,,326=88,堆栈第88个工位 完成
309 =89,,,326=89,堆栈第89个工位 完成
309 =90,,,326=90,堆栈第90个工位 完成
309 =91,,,326=91,堆栈第91个工位 完成
309 =92,,,326=92,堆栈第92个工位 完成
309 =93,,,326=93,堆栈第93个工位 完成
309 =94,,,326=94,堆栈第94个工位 完成
309 =95,,,326=95,堆栈第95个工位 完成
309 =96,,,326=96,堆栈第96个工位 完成
309 =97,,,326=97,堆栈第97个工位 完成
309 =98,,,326=98,堆栈第98个工位 完成
309 =99,,,326=99,堆栈第99个工位 完成
309 =100,,,326=100,堆栈第100个工位 完成
309 =101,,,326=101,堆栈第101个工位 完成
309 =102,,,326=102,堆栈第102个工位 完成
309 =103,,,326=103,堆栈第103个工位 完成
309 =104,,,326=104,堆栈第104个工位 完成
309 =105,,,326=105,堆栈第105个工位 完成
309 =106,,,326=106,堆栈第106个工位 完成
309 =107,,,326=107,堆栈第107个工位 完成
309 =108,,,326=108,堆栈第108个工位 完成
309 =109,,,326=109,堆栈第109个工位 完成
309 =110,,,326=110,堆栈第110个工位 完成
309 =111,,,326=111,堆栈第111个工位 完成
309 =112,,,326=112,堆栈第112个工位 完成
309 =113,,,326=113,堆栈第113个工位 完成
309 =114,,,326=114,堆栈第114个工位 完成
309 =115,,,326=115,堆栈第115个工位 完成
309 =116,,,326=116,堆栈第116个工位 完成
309 =117,,,326=117,堆栈第117个工位 完成
309 =118,,,326=118,堆栈第118个工位 完成
309 =119,,,326=119,堆栈第119个工位 完成
309 =120,,,326=120,堆栈第120个工位 完成
309 =121,,,326=121,堆栈第121个工位 完成
309 =122,,,326=122,堆栈第122个工位 完成
309 =123,,,326=123,堆栈第123个工位 完成
309 =124,,,326=124,堆栈第124个工位 完成
309 =125,,,326=125,堆栈第125个工位 完成
309 =126,,,326=126,堆栈第126个工位 完成
309 =127,,,326=127,堆栈第127个工位 完成
309 =128,,,326=128,堆栈第128个工位 完成
309 =129,,,326=129,堆栈第129个工位 完成
309 =130,,,326=130,堆栈第130个工位 完成
309 =131,,,326=131,堆栈第131个工位 完成
309 =132,,,326=132,堆栈第132个工位 完成
309 =133,,,326=133,堆栈第133个工位 完成
309 =134,,,326=134,=0堆栈夹爪松开，=1堆栈夹爪闭合
,,,,
,,,,
,,,,
,,,,
310 =1,固体加样第1个工位 放孔板,,327=1,固体加样第1个工位  完成
310 =2,固体加样第2个工位 放小瓶子  小瓶子 5971 ,,327=2,固体加样第2个工位  完成
310 =3,固体加样第3个工位 夹取孔板 孔板 6318,,327=3,固体加样第3个工位  完成
310 =4,固体加样第4个工位 夹取小瓶子,,327=4,固体加样第4个工位  完成
310 =5,固体加样第5个工位 ,,327=5,固体加样第5个工位  完成
310 =6,,,327=6,
310 =7,,,327=7,
310 =8,,,327=8,
310 =9,,,327=9,
310 =10,,,327=10,
310 =11,,,327=11,
310 =12,,,,
310 =13,,,,
310 =14,,,,
310 =15,,,,
310 =16,,,,
310 =17,,,,
310 =18,,,,
310 =19,,,,
310 =20,,,,
,,,,
,,,,
,,,,
311 =1,真空烘箱第1个工位 ,,328=1,真空烘箱第一个工位 完成
311 =2,真空烘箱第2个工位 ,,328=2,真空烘箱第二个工位 完成
311 =3,真空烘箱第3个工位 ,,328=3,真空烘箱第三个工位  完成
311 =4,真空烘箱第4个工位 ,,328=4,真空烘箱第四个工位  完成
311 =5,真空烘箱第5个工位 ,,328=5,真空烘箱第五个工位 完成 
311 =6,,,328=6,
311 =7,,,,
311 =8,,,,
311 =9,,,,
311 =10,,,,
,,,,
314 =1,成品放置区第一层第1个,,329=1,成品放置区第一层第1个 完成 
314 =2,成品放置区第一层第2个,,329=2,成品放置区第一层第2个 完成 
314 =3,成品放置区第一层第3个,,329=3,成品放置区第一层第3个 完成 
314 =4,成品放置区第一层第4个,,329=4,成品放置区第一层第4个 完成 
314 =5,成品放置区第二层第1个,,329=5,成品放置区第二层第1个完成 
314 =6,成品放置区第二层第2个,,329=6,成品放置区第二层第2个 完成 
314 =7,成品放置区第二层第3个,,329=7,成品放置区第二层第3个 完成 
314 =8,成品放置区第二层第4个,,329=8,成品放置区第二层第4个 完成 
314 =9,成品放置区第三层第1个,,329=9,成品放置区第三层第1个 完成 
314 =10,成品放置区第三层第2个,,329=10,成品放置区第三层第2个 完成 
314 =11,成品放置区第三层第3个,,329=11,成品放置区第三层第3个 完成 
314 =12,成品放置区第三层第4个,,329=12,成品放置区第三层第4个 完成 
314 =13,成品放置区第四层第1个,,329=13,成品放置区第四层第1个 完成 
314 =14,成品放置区第四层第2个,,329=14,成品放置区第四层第2个完成 
314 =15,成品放置区第四层第3个,,329=15,成品放置区第四层第3个 完成 
314 =16,成品放置区第四层第4个,,329=16,成品放置区第四层第4个完成 
314 =17,,,,
314 =18,,,,
314 =19,,,,
314 =20,,,,
314 =21,,,,
314 =22,,,,
,,,,
,,,,
312,=0夹爪松开，=1夹爪闭合,,,
313=1,机器人紧急停止,,,
